--- Terminal: 1 ---
[2026-05-13 08:04:43] Decode batch, #running-req: 24, #full token: 1763765, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1892.03, #queue-req: 8, 
[2026-05-13 08:04:44] Decode batch, #running-req: 24, #full token: 1765525, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1891.98, #queue-req: 8, 
[2026-05-13 08:04:45] Decode batch, #running-req: 24, #full token: 1767285, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1892.86, #queue-req: 8, 
[2026-05-13 08:04:46] Decode batch, #running-req: 24, #full token: 1769045, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1891.14, #queue-req: 8, 
[2026-05-13 08:04:47] Decode batch, #running-req: 24, #full token: 1770805, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1891.58, #queue-req: 8, 
[2026-05-13 08:04:48] Decode batch, #running-req: 24, #full token: 1772565, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1891.74, #queue-req: 8, 
[2026-05-13 08:04:48] Decode batch, #running-req: 24, #full token: 1774325, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1892.88, #queue-req: 8, 
[2026-05-13 08:04:49] Decode batch, #running-req: 24, #full token: 1776085, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1893.98, #queue-req: 8, 
[2026-05-13 08:04:50] Decode batch, #running-req: 24, #full token: 1777845, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1889.91, #queue-req: 8, 
[2026-05-13 08:04:51] Decode batch, #running-req: 24, #full token: 1779605, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1887.75, #queue-req: 8, 
[2026-05-13 08:04:52] Decode batch, #running-req: 24, #full token: 1781365, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1888.81, #queue-req: 8, 
